TIC_ID,mission,author,exptime,year,target_name
405461319,TESS Sector 42,SPOC,120.0 s,2021,405461319
405461319,TESS Sector 43,SPOC,120.0 s,2021,405461319
177990792,TESS Sector 18,SPOC,120.0 s,2019,177990792
177990792,TESS Sector 58,SPOC,120.0 s,2022,177990792
177990792,TESS Sector 85,SPOC,120.0 s,2024,177990792
456945485,TESS Sector 43,SPOC,120.0 s,2021,456945485
456945485,TESS Sector 44,SPOC,120.0 s,2021,456945485
456945485,TESS Sector 70,SPOC,120.0 s,2023,456945485
456945485,TESS Sector 71,SPOC,120.0 s,2023,456945485
118677684,TESS Sector 43,SPOC,120.0 s,2021,118677684
118677684,TESS Sector 44,SPOC,120.0 s,2021,118677684
118681038,TESS Sector 43,SPOC,120.0 s,2021,118681038
118681038,TESS Sector 44,SPOC,120.0 s,2021,118681038
118681038,TESS Sector 70,SPOC,120.0 s,2023,118681038
118681038,TESS Sector 71,SPOC,120.0 s,2023,118681038
456946694,TESS Sector 43,SPOC,120.0 s,2021,456946694
456946694,TESS Sector 44,SPOC,120.0 s,2021,456946694
456946694,TESS Sector 70,SPOC,120.0 s,2023,456946694
456946694,TESS Sector 71,SPOC,120.0 s,2023,456946694
118521932,TESS Sector 70,SPOC,120.0 s,2023,118521932
118521932,TESS Sector 71,SPOC,120.0 s,2023,118521932
118521871,TESS Sector 70,SPOC,120.0 s,2023,118521871
118521871,TESS Sector 71,SPOC,120.0 s,2023,118521871
61230756,TESS Sector 70,SPOC,120.0 s,2023,61230756
61230756,TESS Sector 71,SPOC,120.0 s,2023,61230756
118521730,TESS Sector 70,SPOC,120.0 s,2023,118521730
118521730,TESS Sector 71,SPOC,120.0 s,2023,118521730
118555907,TESS Sector 70,SPOC,120.0 s,2023,118555907
118555907,TESS Sector 71,SPOC,120.0 s,2023,118555907
118555867,TESS Sector 70,SPOC,120.0 s,2023,118555867
118555867,TESS Sector 71,SPOC,120.0 s,2023,118555867
118520413,TESS Sector 43,SPOC,120.0 s,2021,118520413
118520413,TESS Sector 44,SPOC,120.0 s,2021,118520413
118520413,TESS Sector 70,SPOC,120.0 s,2023,118520413
118520413,TESS Sector 71,SPOC,120.0 s,2023,118520413
17336696,TESS Sector 43,SPOC,120.0 s,2021,17336696
17336696,TESS Sector 44,SPOC,120.0 s,2021,17336696
17336696,TESS Sector 71,SPOC,120.0 s,2023,17336696
17455866,TESS Sector 70,SPOC,120.0 s,2023,17455866
17455866,TESS Sector 71,SPOC,120.0 s,2023,17455866
17339419,TESS Sector 70,SPOC,120.0 s,2023,17339419
17339419,TESS Sector 71,SPOC,120.0 s,2023,17339419
17339381,TESS Sector 70,SPOC,120.0 s,2023,17339381
17339381,TESS Sector 71,SPOC,120.0 s,2023,17339381
18310799,TESS Sector 44,SPOC,120.0 s,2021,18310799
18310799,TESS Sector 70,SPOC,120.0 s,2023,18310799
18310799,TESS Sector 71,SPOC,120.0 s,2023,18310799
397285184,TESS Sector 70,SPOC,120.0 s,2023,397285184
397285184,TESS Sector 71,SPOC,120.0 s,2023,397285184
118446665,TESS Sector 43,SPOC,120.0 s,2021,118446665
118446665,TESS Sector 44,SPOC,120.0 s,2021,118446665
268324394,TESS Sector 43,SPOC,120.0 s,2021,268324394
268324394,TESS Sector 44,SPOC,120.0 s,2021,268324394
268218180,TESS Sector 43,SPOC,120.0 s,2021,268218180
268218180,TESS Sector 44,SPOC,120.0 s,2021,268218180
397357734,TESS Sector 43,SPOC,120.0 s,2021,397357734
397357734,TESS Sector 44,SPOC,120.0 s,2021,397357734
238408266,TESS Sector 70,SPOC,120.0 s,2023,238408266
238408266,TESS Sector 71,SPOC,120.0 s,2023,238408266
118678954,TESS Sector 70,SPOC,120.0 s,2023,118678954
118678954,TESS Sector 71,SPOC,120.0 s,2023,118678954
118679162,TESS Sector 43,SPOC,120.0 s,2021,118679162
118679162,TESS Sector 44,SPOC,120.0 s,2021,118679162
118679162,TESS Sector 70,SPOC,120.0 s,2023,118679162
118679162,TESS Sector 71,SPOC,120.0 s,2023,118679162
118555704,TESS Sector 43,SPOC,120.0 s,2021,118555704
118555704,TESS Sector 44,SPOC,120.0 s,2021,118555704
118555704,TESS Sector 70,SPOC,120.0 s,2023,118555704
118555704,TESS Sector 71,SPOC,120.0 s,2023,118555704
118597308,TESS Sector 43,SPOC,120.0 s,2021,118597308
118597308,TESS Sector 44,SPOC,120.0 s,2021,118597308
238407947,TESS Sector 43,SPOC,120.0 s,2021,238407947
238407947,TESS Sector 44,SPOC,120.0 s,2021,238407947
238407947,TESS Sector 70,SPOC,120.0 s,2023,238407947
238407947,TESS Sector 71,SPOC,120.0 s,2023,238407947
59840611,TESS Sector 43,SPOC,120.0 s,2021,59840611
59840611,TESS Sector 44,SPOC,120.0 s,2021,59840611
59840611,TESS Sector 70,SPOC,120.0 s,2023,59840611
59840611,TESS Sector 71,SPOC,120.0 s,2023,59840611
125915722,TESS Sector 43,SPOC,120.0 s,2021,125915722
125915722,TESS Sector 44,SPOC,120.0 s,2021,125915722
