GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
1003351437484254464,11.48,1.93,-4.67
1008018211509401728,1.35,0.18,-0.18
101040381244467968,0.69,0.2,-0.2
1011435012611767552,3.1,0.9,-0.7
1022456104850892928,4,3,-3
1023492257121204352,2.4,1.8,-1.8
1023967108706495360,9.7,3.9,-2.7
1044013542142711296,8,4.1,-4.8
1048109222955337600,7.5,4.5,-4.5
105332908999068032,6.39,1.94,-1.94
1053809778428567680,6.7,5.1,-5.2
1070387905514406400,5.3,4.7,-4.7
1074139748425931008,4.9,2.3,-2.1
1076515002779544960,8.3,2.1,-2.1
1076970406751899008,1.98,0.95,-0.79
1092230803512999424,4.604,2,-2
1094545653447816064,7.1,4.6,-4.6
1095822117729707264,1.8,0.5,-0.5
1101653957463314688,3.6,1.8,-1.4
1104269596843209472,4.3,3.5,-2.6
1111639314047794944,4.8,2.1,-2.1
1114308481603347584,1.88,0.9,-0.2
1116613161053977472,1.5,1.6,-1
1117620107545810944,5.6,2.7,-1.5
1126422935076082176,4,NULL,NULL
114340658009875072,2.69,0.81,-1.14
117190351631297152,4.2,2.3,-0.8
1176209886733406592,0.96,NULL,NULL
1193071962699902336,7.1,4.2,-4.2
1200751810900182400,7.8,5,-5
1220404653534258816,1.74,0.37,-0.37
12320268307415552,1.1,0.6,-0.6
1247603719345703808,8.2,3.5,-4
1255520718461480960,7.5,2.8,-2.5
1265513389372846848,1.02,0.62,-0.62
1270814787767025408,5.5,0.5,-0.5
128623485853170432,9.4,4.1,-4.1
1291955578869575552,2.9,2.2,-2.2
129321160344480512,8.4,0.6,-0.6
1319243773843954304,0.3,NULL,NULL
1323427759184545536,10.2,0.5,-0.5
1334288219648212352,4.7,1.7,-1.5
1334573817793362560,12.4,4.4,-6.4
1334643739861016832,10.7,NULL,NULL
1344163891352965632,1.6,0.2,-0.1
1358355738906114816,3.6,4,-2.7
1358614983131339392,1.46,0.29,-0.26
1363205856494897024,7.2,2.8,-4
1372215976327300480,7.1,4.1,-4.9
1380293091823646720,5,4,-2
1380825667768742144,1.44,0.47,-0.47
1401760747118886016,9.6,6.6,-6.3
1402405129651594624,6.4,0.6,-1.9
1404488390652463872,0.3,0.05,-0.05
1411414596649598208,0.321,0.096,-0.096
1411707818360668416,0.6,0.2,-0.2
1416731285125373184,2.95,0.229,-0.229
1420011162670761600,7.2,4.6,-5.1
1424011082893734272,2.29,6.8,-1.51
1428639816392087552,3.2,0.7,-0.3
1428639816392087552,6.6,1.8,-1.8
1433062331332673792,12,1.1,-3.8
1438038102484626048,1.1,0.04,-0.04
1438888501713397760,5.5,3,-2.7
1443530266145475840,6,0.8,-1.7
145196252820109440,0.0033,0.0009,-0.0009
1457486023639239296,6.8,4.6,-4.5
145916050683920128,0.65,0.07,-0.07
1460876573902483328,3.24,1.2,-1.2
1464700950221781504,4.9,0.66,-0.46
146487556211644544,0.001,NULL,NULL
1476485996883837184,2.1,3.4,-1.5
147831571737487488,0.0022,NULL,NULL
1490845584382687232,0.21,0.02,-0.02
1490845584382687232,0.338,0.077,-0.081
1490845584382687232,2.7,3.6,-1.9
1491634483976350720,6.9,0.1,-0.1
149629483705467008,0.001,NULL,NULL
1497132660589966976,3.1,1.9,-1.7
1499514786891168640,2.5,2,-2
150054788545735424,2.6,1.2,-1.2
1506159170017461888,7.5,3.6,-3.6
151374202498079872,0.001,NULL,NULL
151499478104075008,0.0025,0.0004,-0.0004
1530780980576364032,5.45,2.06,-2.06
1545570133528453888,7.2,4.4,-4.5
1552562615159689088,10.8,1.5,-1.5
1556242405699527424,1.1,1.6,-0.8
1560420854826284928,4.73,0.39,-0.39
1560676770454324224,4.5,NULL,NULL
1562935820172427392,5.7,2.3,-1.8
156917493449670656,0.003,0.002,-0.002
1574358783911530624,4.2,2.5,-2.2
1579929906250111232,0.1,0.05,-0.05
1581657479535392256,7,4.6,-5
1581799694493008384,4,1.9,-1.7
1585783740516554624,3.8,1.5,-1.3
1587399232335653760,6.2,1.6,-3.8
1610837178107032192,1.4,0.3,-0.3
1611685004650291840,3.1,1.6,-1.6
1612165353793791488,1.9,0.2,-0.2
1614731957531452544,2.65,0.74,-0.74
1616054670018575872,3.4,1.5,-1.2
1620024491110370688,0.133,0.026,-0.026
1629404184289170688,9,1.4,-1.4
1630385635856016256,5.9,2.4,-2.3
1630906044157332224,1.3,0.3,-0.3
1631416599805196544,2.3,2.8,-1.6
1635108588053258752,3.1,2.3,-1.8
1636690613486307840,2,0.3,-0.3
1643587094013359360,4.6,1.6,-0.7
1644692064543192704,6.4,3.5,-3.2
1647136729864424576,4.3,1.7,-0.6
164800235906366976,0.0033,0.0006,-0.0005
1650110904522335744,6.3,3.6,-3.2
1650851223740149504,7.1,0.6,-0.7
1651268763282397312,3.3,1,-1
1651807592698185728,9.7,2.8,-4
1651818622174190208,3.9,1.5,-1.3
1651911084230149248,2.53,0.43,-0.43
1652137995942479744,7.5,4.4,-5.1
1654516686269888896,4.9,1.1,-1.1
1656835487573730048,4.5,4.6,-3.1
1675511792082576384,2.5,2.5,-1.6
1675923009431370880,0.245,0.135,-0.135
1676299557803904000,6.3,6.3,-4.4
1677343097418015488,0.7,0.15,-0.15
1678074272650459008,4.6,1.6,-1.2
1678371724905519744,4,2.3,-2
1679187115856566528,1.6,0.3,-0.3
1685195530290375168,0.8,NULL,NULL
1686171213716517504,8.7,2,-1.9
1695343683312903168,6.2,1.4,-1.4
1697129530714536320,5.6,1.2,-1.7
1709456705329541504,3,2,-2
1709691004385812864,1.6,0.6,-0.6
1712614124767394816,7.9,4.9,-4.1
1725490333641502976,0.8,1.2,-0.6
1737061349198867456,4.4,8.4,-2.4
1740534092250753920,4,NULL,NULL
1744911763437512064,0.8,0.2,-0.2
1750321012752775040,4.81,0.191,-0.191
1754430373040023168,3.12,NULL,NULL
1757302881526250496,3.9,0.8,-0.8
1772187382746856320,0.3,0.2,-0.2
1781063087283857664,2,1.3,-1.3
178924390478792320,2.9,2.2,-2.2
1790807028049001600,9.7,2.3,-2.5
1803475188714186368,8.9,3.9,-3.9
1807887150930343424,9.6,2.8,-4.1
1808938730710633984,4,1,-1
1810218734058821632,1.7,0.4,-0.5
1816307623283205248,4.2,3.4,-2.3
1838769198425933568,5.3,3.1,-2.3
1846882224145757056,0.1,0.05,-0.07
1847742385838236416,1.32,0.35,-0.25
1864885215233116032,3.1,0.3,-0.3
1869054868256849920,6.6,1.8,-2.4
1869489729418662528,4.11,0.66,-0.52
1891930796082743680,10,NULL,NULL
1896138833241139584,6,3,-2.5
1900293230549817856,1.8,2.9,-1.3
1926476042681491712,0.03,0.12,-0.01
1950477552581609984,6.1,3.7,-3.7
1958584565350234752,6.6,6.6,-4.6
