hostname,TIC_ID,GaiaDR3_ID
11 Com,72437047,3946945413106333696
11 UMi,230061010,1696798367260229376
14 And,333225860,1920113512486282240
14 Her,219483057,1385293808145621504
16 Cyg B,27533327,2135550755683407232
17 Sco,135596590,4342464209753404416
18 Del,354489950,1756741374681702784
1RXS J160929.1-210524,48964101,6243841249531772800
24 Boo,441712711,1603662211901473408
24 Sex,1713457,3830897080395058048
2MASS J01225093-2439505,11614485,5040416186560252416
2MASS J02192210-3925225,77111651,4963614887043956096
2MASS J0249-0557 A,10930507,5183875103632956032
2MASS J03590986+2009361,14183352,51369428065705600
2MASS J04372171+2651014,125843782,151499478104075008
2MASS J04414489+2301513,118893899,146487556211644544
2MASS J11011926-7732383,454227159,5201185574182015744
2MASS J11550485-7919108,357014373,5199985216726016896
2MASS J12073346-3932539,102076870,3459372646830687104
2MASS J16262785-2625152,175594111,6045818685674325760
2MASS J19383260+4603591,271164763,2080063931448749824
2MASS J21252752-8138278,273305007,6348514275456913792
2MASS J22362452+4751425,200532605,1986772848034988544
2MASS J22501512+2325342,435830255,2837047214379099904
4 UMa,356478817,1092230803512999424
47 UMa,21535479,777254360337133312
51 Eri,298810162,3205095125321700480
51 Peg,139298196,2835207319109249920
55 Cnc,332064670,704967037090946688
55 Cnc B,332064684,704966762213039488
6 Lyn,444865362,1004358968092652544
61 Vir,422478973,3507879565090229888
7 CMa,48237215,2939555954755196160
70 Vir,95473936,3740176925743994752
75 Cet,251095345,2500064286492779264
8 UMi,257005016,1700658653802527104
81 Cet,35725282,2495420602212048640
91 Aqr,4610441,2630155547353593216
AB Aur,96680681,156917493449670656
AB Pic,260351540,5495052596695570816
AF Lep,94945758,3009908378049913216
AU Mic,441420236,6794047652729201024
b Cen A,159589603,6105713692544123520
Barnard's star,325554331,4472832130942575872
BD+03 2562,366659915,3895649725336884736
BD+05 4868 A,466376085,2700378125204437760
BD+14 4559,230183006,1759623813132980864
BD+15 2375,82604982,3924009634910406912
BD+15 2940,393702609,1193071962699902336
BD+20 2457,95359428,625137162857354880
BD+20 274,60923874,96530596864007552
BD+20 594,26123781,58200934326315136
BD+37 3172,289572819,2096350069476310016
BD+42 2315,376689863,1534760078795225728
