TIC_ID,mission,author,exptime,year,target_name
72437047,TESS Sector 49,SPOC,120.0 s,2022,72437047
230061010,TESS Sector 14,SPOC,120.0 s,2019,230061010
230061010,TESS Sector 15,SPOC,120.0 s,2019,230061010
230061010,TESS Sector 16,SPOC,120.0 s,2019,230061010
230061010,TESS Sector 20,SPOC,120.0 s,2019,230061010
230061010,TESS Sector 21,SPOC,120.0 s,2020,230061010
230061010,TESS Sector 22,SPOC,120.0 s,2020,230061010
230061010,TESS Sector 23,SPOC,120.0 s,2020,230061010
230061010,TESS Sector 26,SPOC,120.0 s,2020,230061010
230061010,TESS Sector 47,SPOC,120.0 s,2021,230061010
230061010,TESS Sector 41,SPOC,120.0 s,2021,230061010
230061010,TESS Sector 40,SPOC,120.0 s,2021,230061010
230061010,TESS Sector 49,SPOC,120.0 s,2022,230061010
230061010,TESS Sector 53,SPOC,120.0 s,2022,230061010
230061010,TESS Sector 56,SPOC,120.0 s,2022,230061010
230061010,TESS Sector 60,SPOC,120.0 s,2022,230061010
230061010,TESS Sector 74,SPOC,120.0 s,2024,230061010
230061010,TESS Sector 76,SPOC,120.0 s,2024,230061010
230061010,TESS Sector 80,SPOC,120.0 s,2024,230061010
230061010,TESS Sector 83,SPOC,120.0 s,2024,230061010
333225860,TESS Sector 16,SPOC,120.0 s,2019,333225860
333225860,TESS Sector 17,SPOC,120.0 s,2019,333225860
333225860,TESS Sector 57,SPOC,120.0 s,2022,333225860
333225860,TESS Sector 84,SPOC,120.0 s,2024,333225860
219483057,TESS Sector 24,SPOC,120.0 s,2020,219483057
219483057,TESS Sector 25,SPOC,120.0 s,2020,219483057
219483057,TESS Sector 50,SPOC,120.0 s,2022,219483057
219483057,TESS Sector 51,SPOC,120.0 s,2022,219483057
219483057,TESS Sector 52,SPOC,120.0 s,2022,219483057
219483057,TESS Sector 77,SPOC,120.0 s,2024,219483057
219483057,TESS Sector 78,SPOC,120.0 s,2024,219483057
27533327,TESS Sector 14,SPOC,120.0 s,2019,27533327
27533327,TESS Sector 15,SPOC,120.0 s,2019,27533327
27533327,TESS Sector 41,SPOC,120.0 s,2021,27533327
27533327,TESS Sector 54,SPOC,120.0 s,2022,27533327
27533327,TESS Sector 55,SPOC,120.0 s,2022,27533327
27533327,TESS Sector 56,SPOC,120.0 s,2022,27533327
27533327,TESS Sector 74,SPOC,120.0 s,2024,27533327
27533327,TESS Sector 75,SPOC,120.0 s,2024,27533327
27533327,TESS Sector 76,SPOC,120.0 s,2024,27533327
27533327,TESS Sector 81,SPOC,120.0 s,2024,27533327
27533327,TESS Sector 82,SPOC,120.0 s,2024,27533327
27533327,TESS Sector 83,SPOC,120.0 s,2024,27533327
135596590,TESS Sector 91,SPOC,120.0 s,2025,135596590
354489950,TESS Sector 55,SPOC,120.0 s,2022,354489950
354489950,TESS Sector 82,SPOC,120.0 s,2024,354489950
48964101,TESS Sector 91,SPOC,120.0 s,2025,48964101
441712711,TESS Sector 22,SPOC,120.0 s,2020,441712711
441712711,TESS Sector 23,SPOC,120.0 s,2020,441712711
441712711,TESS Sector 49,SPOC,120.0 s,2022,441712711
441712711,TESS Sector 50,SPOC,120.0 s,2022,441712711
441712711,TESS Sector 76,SPOC,120.0 s,2024,441712711
441712711,TESS Sector 77,SPOC,120.0 s,2024,441712711
1713457,TESS Sector 08,SPOC,120.0 s,2019,1713457
1713457,TESS Sector 35,SPOC,120.0 s,2021,1713457
1713457,TESS Sector 45,SPOC,120.0 s,2021,1713457
1713457,TESS Sector 46,SPOC,120.0 s,2021,1713457
1713457,TESS Sector 62,SPOC,120.0 s,2023,1713457
1713457,TESS Sector 72,SPOC,120.0 s,2023,1713457
11614485,TESS Sector 03,SPOC,120.0 s,2018,11614485
11614485,TESS Sector 30,SPOC,120.0 s,2020,11614485
11614485,TESS Sector 97,SPOC,120.0 s,2025,11614485
77111651,TESS Sector 03,SPOC,120.0 s,2018,77111651
77111651,TESS Sector 97,SPOC,120.0 s,2025,77111651
14183352,TESS Sector 42,SPOC,120.0 s,2021,14183352
14183352,TESS Sector 43,SPOC,120.0 s,2021,14183352
14183352,TESS Sector 44,SPOC,120.0 s,2021,14183352
125843782,TESS Sector 43,SPOC,120.0 s,2021,125843782
125843782,TESS Sector 44,SPOC,120.0 s,2021,125843782
125843782,TESS Sector 70,SPOC,120.0 s,2023,125843782
125843782,TESS Sector 71,SPOC,120.0 s,2023,125843782
118893899,TESS Sector 70,SPOC,120.0 s,2023,118893899
118893899,TESS Sector 71,SPOC,120.0 s,2023,118893899
454227159,TESS Sector 11,SPOC,120.0 s,2019,454227159
454227159,TESS Sector 12,SPOC,120.0 s,2019,454227159
