probe,baseline,transform,n,r,mae,rmse,r_raw,mae_raw,run_dir
flux_kurt,MLP,asinh,60631,0.9519392841592296,0.3149847818083292,0.5326572262178335,0.9329668321541875,16.76492765048469,flux_kurt__MLP
flux_kurt,gaussian,asinh,31912,-0.008954146572916245,1.2272891416351508,1.7535717226659733,-0.0002606979796705472,28.098497824058242,flux_kurt__gaussian
flux_kurt,none,asinh,31912,0.9986817218695448,0.05694804308918108,0.09011703605511628,0.8548971216146679,4.7623318172076115,flux_kurt
flux_kurt,shuffle,asinh,31912,0.0203896095182112,1.2195813943574523,1.7518251829162146,0.009422798549305922,28.08900387823798,flux_kurt__shuffle
flux_skew,MLP,asinh,60631,0.9709212675222822,0.09369435420198387,0.19500135172318311,0.938119027195902,0.28307903944073903,flux_skew__MLP
flux_skew,gaussian,asinh,31912,-0.004250043311501986,0.42111318913609347,0.7397597857837429,-0.00390821018319675,0.9393606723912225,flux_skew__gaussian
flux_skew,none,asinh,31912,0.983368611069563,0.034873180972435414,0.13478748879238797,0.13018305777621927,1908977.4787221581,flux_skew
flux_skew,shuffle,asinh,31912,0.007044205088296725,0.41236593146064676,0.7394678670009813,0.0058411331790392705,0.9303015702230709,flux_skew__shuffle
lit_prot,MLP,log10,17841,0.6180855750247767,0.5074419813347939,0.7723154859741481,0.23026144860726286,61.49346340551987,lit_prot__MLP
lit_prot,gaussian,log10,9431,0.008721874920906078,0.4979811959780078,0.5876864317588955,-0.004253664269454226,4.304191367412079,lit_prot__gaussian
lit_prot,none,log10,9431,0.8680181518829471,0.17958087995730326,0.2919575075462312,0.6699169038478263,2.1198346578034295,lit_prot
lit_prot,shuffle,log10,9431,0.008793160187691721,0.49835063378901884,0.587771373003949,0.006665525352640952,4.305671638841777,lit_prot__shuffle
num_flares,MLP,log10,7112,0.7300331085007825,0.19997488742946817,0.2442302755683402,0.721309819696853,1.5501533496851652,num_flares__MLP
num_flares,gaussian,log10,7059,0.0009916999161545727,0.3037520887945544,0.35784280218665643,0.01332985194309868,2.3371371314659823,num_flares__gaussian
num_flares,none,log10,7059,0.7159927174158189,0.20249195159428424,0.24973455308511253,0.6683201156070215,1.6091919464319626,num_flares
num_flares,shuffle,log10,7059,0.05891940596967783,0.3030362039609067,0.35694968585732473,0.04919618732417004,2.333352058851795,num_flares__shuffle
tars_prot,MLP,log10,27002,0.9163792187570634,0.12794412383095374,0.22031026924639635,0.8238427778942845,1.3707404203354523,tars_prot__MLP
tars_prot,gaussian,log10,21096,-0.010630717484435899,0.4282702860594461,0.5026855039438114,-0.0010441879881585017,2.588478047112118,tars_prot__gaussian
tars_prot,none,log10,21096,0.9240737512506536,0.11273872672759586,0.19190328242700924,0.8546019794733318,0.8497394804799628,tars_prot
tars_prot,shuffle,log10,21096,0.01467364931728323,0.4278240940007113,0.5022576611553372,0.016331162689496522,2.5865656717831493,tars_prot__shuffle
total_ed,MLP,log10,7112,0.8289262745786542,0.41811259854526917,0.5412870680813863,0.37345320801969006,6.0075465180913845,total_ed__MLP
total_ed,gaussian,log10,7059,-0.02334569447419163,0.8223166789913702,0.9698411494594555,-0.004029428883409224,7.738734300141287,total_ed__gaussian
total_ed,none,log10,7059,0.8710022659404537,0.3685160449864701,0.47532989903453965,0.4740689106430742,5.621249027281413,total_ed
total_ed,shuffle,log10,7059,0.022929853994307258,0.8180086258550407,0.9682142342108314,0.03109659861266329,7.72364066767445,total_ed__shuffle
