pc,r_raw_pc_vs_logage,partial_r_given_prot_bprp,r_pc_vs_logprot,var_explained
1,-0.26981931089459016,-0.6017337106552182,0.18035201235465725,0.44005087018013
2,0.006015681500048652,0.006466297605361619,0.05680712955475191,0.17469464242458344
3,-0.43783014469275017,-0.4870951518800768,0.2144512621339211,0.05903904512524605
4,0.19481208465090516,0.18640426348924122,0.13628829691282907,0.045952923595905304
5,-0.16758998819467538,-0.1790425784956713,-0.052834518313941245,0.041418444365262985
6,0.11260989159051475,0.11293421283724867,0.03570930478330435,0.029473869130015373
7,0.08223774724019636,0.10009627509448252,-0.058339942055740834,0.026629071682691574
8,-0.37799155485379526,-0.40831433236864645,0.1323295615719165,0.019619658589363098
9,0.2031504440051176,0.3240763078970001,-0.16997193989105341,0.018595466390252113
10,0.036405438391188226,-0.07756623465826665,0.25510552339798936,0.01720353215932846
11,-0.1816948084512296,-0.15123092948787914,-0.03076544131274149,0.010776378214359283
12,0.027820842758910523,0.007258336130151583,0.05267563435801527,0.010095740668475628
13,-0.02403081116772397,-0.04420624502189671,0.09541869445689845,0.007492090575397015
14,0.32170970079386846,0.2522468477052656,0.28559803810630224,0.006574532482773066
15,0.09140427035259961,0.001142940899379439,0.2610820603025662,0.006276567466557026
16,-0.4244174434688905,-0.4389131227117164,0.09699314859530764,0.005676992703229189
